product_name,new_price,product_rating,Processor_OR_Generation,RAM(GB),Operating_System,SSD(GB),Display(cm),rating_without_dis
DELL Inspiron Intel Core i5 11th Gen 1135G7 - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) INSPIRON 3511...,low,Excellent,Intel Core i5 Processor (11th Gen),8.0,64 bit Windows 11 Operating System,1000.0,39.62,4.1
Apple 2023 MacBook Pro Apple M3 Pro - (18 GB/512 GB SSD/macOS Sonoma) MRX63HN/A,Very Expensive,Excellent,Apple M3 Pro Processor,18.0,Mac OS Operating System,512.0,35.56,4.4
Infinix ZEROBOOK 13 Intel Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) ZL513 Thi...,low,Excellent,Intel Core i5 Processor (13th Gen),16.0,Windows 11 Operating System,512.0,39.62,4.1
Acer One 11 Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) Z8-284 Thin and Light La...,very low,Good,Intel Celeron Dual Core Processor,8.0,Windows 11 Operating System,256.0,29.46,3.5
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/1 TB SSD/Windows 11 Home...,low,Good,Intel Core i5 Processor (11th Gen),8.0,Windows 11 Operating System,1000.0,39.62,3.7
Infinix X2 Slim Intel Core i5 11th Gen 1155G7 - (16 GB/512 GB SSD/Windows 11 Home) XL23 Thin and Light...,very low,Excellent,Intel Core i5 Processor (11th Gen),16.0,64 bit Windows 11 Operating System,512.0,35.56,4.1
Infinix X3 Slim Intel Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) XL422 Thin and ...,very low,Excellent,Intel Core i3 Processor (12th Gen),8.0,Windows 11 Operating System,512.0,35.56,4.1
Infinix ZEROBOOK 13 Intel Intel Core i7 13th Gen 13700H - (16 GB/512 GB SSD/Windows 11 Home) ZL513 Thi...,low,Excellent,Intel Core i7 Processor (13th Gen),16.0,Windows 11 Operating System,512.0,99.06,4.3
Lenovo Ideapad Slim 5i Intel Core i7 13th Gen 13700H - (16 GB/512 GB SSD/Windows 11 Home) 16IRL8 Thin ...,Moderate,Excellent,Intel Core i7 Processor (13th Gen),16.0,64 bit Windows 11 Operating System,512.0,40.64,4.1
ASUS X1500EA-EJ3379WS Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1500EA-EJ3379WS Thin...,very low,Excellent,Intel Core i3 Processor (11th Gen),8.0,Windows 11 Operating System,512.0,39.62,4.1
